Nombre_Modelo,Modelo,Flexible,MAE_Mean,MAE_Std,MAPE_Mean,MAPE_Std,R2_Mean,Acc_Mean,F1_Mean,Best_R2,Best_MAE,Best_MAPE,Hidden_Dim,Dropout,LR
STGNN_SAGE_16_0.0_0.1_flex,STGNN,True,0.8568425059318543,0.18871164291096257,0.13559902906417848,0.04007255962358239,0.36507139205932615,0.8466666666666667,0.8399792960662527,0.7089829444885254,0.7581932544708252,0.11450018733739853,16,0.0,0.1
STGNN_SAGE_16_0.0_0.01_flex,STGNN,True,0.9767747759819031,0.04800964680615548,0.1498339742422104,0.02911292334882542,0.12968403100967407,0.7685714285714286,0.7531282110267618,0.6271452903747559,1.0502119064331055,0.19944122433662415,16,0.0,0.01
STGNN_SAGE_16_0.0_0.005_flex,STGNN,True,1.0074877977371215,0.2794840171045544,0.15827766954898834,0.06369711510190684,0.10735152959823609,0.7971428571428573,0.7834594739667203,0.5690926313400269,0.7731184959411621,0.1078152060508728,16,0.0,0.005
STGNN_SAGE_16_0.0_0.001_flex,STGNN,True,0.885947334766388,0.04152692555430571,0.14226169139146805,0.022899231676720526,0.26271804571151736,0.8638095238095238,0.8321997192287048,0.7278138399124146,0.848727822303772,0.1746271401643753,16,0.0,0.001
STGNN_SAGE_16_0.2_0.1_flex,STGNN,True,0.8692593097686767,0.1664066714028173,0.1359451398253441,0.05705156530428114,0.2585277557373047,0.8495238095238096,0.8277184265010353,0.6770320534706116,0.7812692523002625,0.10075775533914566,16,0.2,0.1
STGNN_SAGE_16_0.2_0.01_flex,STGNN,True,0.9183649539947509,0.11690275440246324,0.14264712631702423,0.03229476687608504,0.2194798231124878,0.8238095238095238,0.8101261406333871,0.7137545347213745,1.0031641721725464,0.1910841017961502,16,0.2,0.01
STGNN_SAGE_16_0.2_0.005_flex,STGNN,True,0.9257516026496887,0.203668511256576,0.14596545100212097,0.04753524501359845,0.1387123703956604,0.8095238095238095,0.7984387700329729,0.6060382723808289,1.106146216392517,0.21987999975681305,16,0.2,0.005
STGNN_SAGE_16_0.2_0.001_flex,STGNN,True,0.9055915236473083,0.062137107982554673,0.14755889028310776,0.02904966904615158,0.20979095697402955,0.8361904761904763,0.8180076031830417,0.7235541939735413,0.9176146984100342,0.19139406085014343,16,0.2,0.001
STGNN_SAGE_16_0.3_0.1_flex,STGNN,True,0.9634687781333924,0.10860911457417628,0.15263545513153076,0.04672537812079311,0.1326888084411621,0.8076190476190476,0.7655983436853002,0.621715247631073,0.8198462724685669,0.11150772124528885,16,0.3,0.1
STGNN_SAGE_16_0.3_0.01_flex,STGNN,True,0.9296375036239624,0.1629965935490594,0.14616310745477676,0.033610541427586904,0.11049764156341553,0.822857142857143,0.8115169199532282,0.6779210567474365,0.9690350294113159,0.19356243312358856,16,0.3,0.01
STGNN_SAGE_16_0.3_0.005_flex,STGNN,True,0.9668373227119446,0.21671735623153882,0.15704110413789749,0.058501786818662894,0.107793128490448,0.8104761904761905,0.7960272570608191,0.5467444658279419,0.8356874585151672,0.11904598027467728,16,0.3,0.005
STGNN_SAGE_16_0.3_0.001_flex,STGNN,True,0.9835360407829284,0.18537802960668703,0.16194605380296706,0.061091925295554926,0.16467775106430055,0.7828571428571429,0.7643393911509854,0.47043001651763916,0.9812367558479309,0.15472599864006042,16,0.3,0.001
