Nombre_Modelo,Modelo,Flexible,MAE_Mean,MAE_Std,MAPE_Mean,MAPE_Std,R2_Mean,Acc_Mean,F1_Mean,Best_R2,Best_MAE,Best_MAPE,Hidden_Dim,Dropout,LR
STGNN_GCN_16_0.0_0.1_flex,STGNN,True,1.038414764404297,0.199032467638814,0.158009772002697,0.048847648449490834,0.017061471939086914,0.7942857142857143,0.777939630701779,0.6492522954940796,0.8445121049880981,0.11840749531984329,16,0.0,0.1
STGNN_GCN_16_0.0_0.01_flex,STGNN,True,0.9543852925300598,0.1422640595075196,0.14402214139699937,0.024843526171423665,0.12764308452606202,0.7961904761904762,0.7854674276498657,0.7338266372680664,0.9386208653450012,0.169906884431839,16,0.0,0.01
STGNN_GCN_16_0.0_0.005_flex,STGNN,True,0.8191599726676941,0.08532365453796838,0.13086198270320892,0.03537119740137843,0.42129974365234374,0.8228571428571427,0.8064097845257265,0.7118992805480957,0.8335965871810913,0.18802738189697266,16,0.0,0.005
STGNN_GCN_16_0.0_0.001_flex,STGNN,True,0.973288106918335,0.23838843680087685,0.15038492828607558,0.030641095213198216,0.169621479511261,0.7961904761904762,0.787743271221532,0.7400451898574829,0.8690494298934937,0.18589401245117188,16,0.0,0.001
STGNN_GCN_16_0.2_0.1_flex,STGNN,True,0.9370982408523559,0.06604838697516731,0.1453242465853691,0.037300561489917415,0.24990769624710082,0.7933333333333333,0.7613089839222563,0.6114766597747803,1.046837329864502,0.2110338658094406,16,0.2,0.1
STGNN_GCN_16_0.2_0.01_flex,STGNN,True,0.8894047498703003,0.12776600964093304,0.1385001704096794,0.03522102598385586,0.22114893198013305,0.8095238095238095,0.7934384421426194,0.7173059582710266,1.0080645084381104,0.19496850669384003,16,0.2,0.01
STGNN_GCN_16_0.2_0.005_flex,STGNN,True,0.8698952674865723,0.11587479096031868,0.14259284883737564,0.045451638881765,0.28053534030914307,0.8504761904761905,0.8311753050463958,0.6504027843475342,0.7081090211868286,0.10015831887722015,16,0.2,0.005
STGNN_GCN_16_0.2_0.001_flex,STGNN,True,0.9739180684089661,0.181617357476703,0.16136427223682404,0.060665978989641337,0.1049679160118103,0.8238095238095238,0.8087928073000537,0.4985591769218445,0.8519085049629211,0.1188182681798935,16,0.2,0.001
STGNN_GCN_16_0.3_0.1_flex,STGNN,True,0.9917319655418396,0.12619780057253835,0.15761725157499312,0.04581784193412217,0.10511232614517212,0.780952380952381,0.7487412008281573,0.5568569898605347,0.9051653146743774,0.135854110121727,16,0.3,0.1
STGNN_GCN_16_0.3_0.01_flex,STGNN,True,0.9636624455451965,0.18399247152439,0.1488023966550827,0.036433355301275824,0.1502545952796936,0.7828571428571429,0.7722482938424966,0.626741886138916,1.1700986623764038,0.20224742591381073,16,0.3,0.01
STGNN_GCN_16_0.3_0.005_flex,STGNN,True,0.9294938564300537,0.16989793544292722,0.14639094918966294,0.04139571161772609,0.16232229471206666,0.8104761904761905,0.7971547982502798,0.6544562578201294,1.069513201713562,0.20793487131595612,16,0.3,0.005
STGNN_GCN_16_0.3_0.001_flex,STGNN,True,0.9976272106170654,0.1817401851693688,0.16441260874271393,0.056575291782790874,0.07731112241744995,0.7961904761904762,0.7828595551974651,0.44644486904144287,1.2428985834121704,0.2608860433101654,16,0.3,0.001
STGNN_GCN_16_0.5_0.1_flex,STGNN,True,0.9668283581733703,0.1731149223414776,0.15607899874448777,0.04884978777304734,0.10616995096206665,0.7952380952380953,0.7439684143017476,0.5444594025611877,0.8347753882408142,0.1210905984044075,16,0.5,0.1
STGNN_GCN_16_0.5_0.01_flex,STGNN,True,0.9415500521659851,0.16526999547805524,0.1483386844396591,0.04292903141400975,0.16467366218566895,0.8238095238095238,0.8101261406333871,0.6155626177787781,1.1255710124969482,0.2154676765203476,16,0.5,0.01
STGNN_GCN_16_0.5_0.005_flex,STGNN,True,0.9226180195808411,0.11465994957179215,0.1475211888551712,0.03815659710796913,0.20706419944763182,0.8238095238095238,0.8087928073000537,0.6090865135192871,0.944667398929596,0.20796507596969604,16,0.5,0.005
STGNN_GCN_16_0.5_0.001_flex,STGNN,True,0.9893700122833252,0.21214802838966448,0.16726312190294265,0.07318362743735891,0.14050772190093994,0.8104761904761905,0.7960272570608191,0.4518628716468811,0.8557510375976562,0.12416548281908035,16,0.5,0.001
STGNN_GCN_32_0.0_0.1_flex,STGNN,True,0.8543269515037537,0.1314518943680966,0.13266198486089706,0.02756391668190633,0.32696826457977296,0.7790476190476191,0.7671428571428572,0.7155541181564331,0.7980501651763916,0.1692030131816864,32,0.0,0.1
