Nombre_Modelo,Modelo,Flexible,MAE_Mean,MAE_Std,MAPE_Mean,MAPE_Std,R2_Mean,Acc_Mean,F1_Mean,Best_R2,Best_MAE,Best_MAPE,Hidden_Dim,Dropout,LR
LSTM_16_0.0_0.1_flex,LSTM,True,1.0290153861045837,0.24209987826268672,0.16373518407344817,0.04720685406855885,-0.026654398441314696,0.781904761904762,0.7634147590908034,0.7087202072143555,0.6684368252754211,0.09481258690357208,16,0.0,0.1
LSTM_16_0.0_0.01_flex,LSTM,True,0.8215924620628356,0.10138029465391636,0.12739512771368028,0.02713495630993982,0.3970762252807617,0.837142857142857,0.8240495360785214,0.7387281656265259,0.8714349269866943,0.15751679241657257,16,0.0,0.01
LSTM_16_0.0_0.005_flex,LSTM,True,0.9290394186973572,0.28337669703617185,0.14293492138385772,0.03708292878556698,-0.06896053552627564,0.8361904761904763,0.8193928497132159,0.7357112169265747,0.784360945224762,0.15589380264282227,16,0.0,0.005
LSTM_16_0.0_0.001_flex,LSTM,True,1.142427909374237,0.33201474927835256,0.17480702102184295,0.061764336009622445,-0.11517003774642945,0.741904761904762,0.744462939958592,0.5647372007369995,0.6316294074058533,0.08857159316539764,16,0.0,0.001
LSTM_16_0.2_0.1_flex,LSTM,True,0.848371684551239,0.08761743185086278,0.1348169669508934,0.03326096693985183,0.29701522588729856,0.8361904761904763,0.8194879344459818,0.6984207630157471,0.8323411345481873,0.18293191492557526,16,0.2,0.1
LSTM_16_0.2_0.01_flex,LSTM,True,0.7811999678611755,0.18082170946452977,0.12536814510822297,0.0463261999782909,0.4566110849380493,0.8495238095238096,0.8228496482204923,0.7454731464385986,0.5465154051780701,0.07453793287277222,16,0.2,0.01
LSTM_16_0.2_0.005_flex,LSTM,True,0.9114144563674926,0.2960914905352049,0.13459651172161102,0.045481063690992876,0.04652217626571655,0.7838095238095237,0.781863354037267,0.6761232614517212,0.9476361870765686,0.16359202563762665,16,0.2,0.005
LSTM_16_0.2_0.001_flex,LSTM,True,0.9589226841926575,0.3894964099191631,0.1669517144560814,0.11022908206470032,0.1545491099357605,0.7838095238095238,0.7347638217928072,0.7620196342468262,0.5974316000938416,0.08104149997234344,16,0.2,0.001
LSTM_16_0.3_0.1_flex,LSTM,True,0.9329902410507203,0.19513010169175224,0.1546129286289215,0.06549834006648278,0.24566776752471925,0.8076190476190476,0.7823580246913581,0.6009334325790405,0.7605108022689819,0.1079404428601265,16,0.3,0.1
LSTM_16_0.3_0.01_flex,LSTM,True,0.7772860646247863,0.1423610098242135,0.12850691229104996,0.04278133765133611,0.47599188089370725,0.8628571428571428,0.8335904985485459,0.6848042011260986,0.8396735787391663,0.1841881424188614,16,0.3,0.01
